Webpage_id,Tag
31,clinicalTrials
32,clinicalTrials
33,clinicalTrials
34,clinicalTrials
35,clinicalTrials
37,clinicalTrials
38,clinicalTrials
42,clinicalTrials
45,clinicalTrials
46,clinicalTrials
49,clinicalTrials
50,clinicalTrials
51,clinicalTrials
52,clinicalTrials
55,others
56,others
57,clinicalTrials
58,clinicalTrials
59,clinicalTrials
60,others
66,clinicalTrials
67,clinicalTrials
68,clinicalTrials
69,others
70,clinicalTrials
72,clinicalTrials
75,clinicalTrials
76,clinicalTrials
77,clinicalTrials
78,clinicalTrials
79,clinicalTrials
81,clinicalTrials
82,clinicalTrials
83,clinicalTrials
84,clinicalTrials
85,clinicalTrials
86,clinicalTrials
87,clinicalTrials
91,clinicalTrials
92,clinicalTrials
93,clinicalTrials
95,clinicalTrials
97,clinicalTrials
100,clinicalTrials
104,others
105,others
115,clinicalTrials
117,clinicalTrials
120,clinicalTrials
121,clinicalTrials
125,clinicalTrials
126,clinicalTrials
128,others
129,others
130,clinicalTrials
131,clinicalTrials
132,clinicalTrials
133,clinicalTrials
134,clinicalTrials
135,clinicalTrials
152,news
175,clinicalTrials
176,clinicalTrials
178,clinicalTrials
179,clinicalTrials
180,clinicalTrials
181,clinicalTrials
184,clinicalTrials
185,clinicalTrials
186,clinicalTrials
188,clinicalTrials
189,clinicalTrials
191,clinicalTrials
192,clinicalTrials
193,clinicalTrials
194,clinicalTrials
195,clinicalTrials
196,clinicalTrials
198,clinicalTrials
199,clinicalTrials
201,clinicalTrials
202,clinicalTrials
204,clinicalTrials
205,clinicalTrials
206,clinicalTrials
210,publication
211,clinicalTrials
212,clinicalTrials
213,clinicalTrials
214,clinicalTrials
215,clinicalTrials
216,clinicalTrials
217,clinicalTrials
218,clinicalTrials
220,clinicalTrials
221,clinicalTrials
222,clinicalTrials
223,clinicalTrials
225,clinicalTrials
226,clinicalTrials
227,clinicalTrials
228,clinicalTrials
229,clinicalTrials
231,clinicalTrials
232,clinicalTrials
233,clinicalTrials
234,clinicalTrials
235,news
236,others
237,clinicalTrials
238,others
241,news
243,news
244,clinicalTrials
246,news
247,publication
248,news
249,clinicalTrials
250,clinicalTrials
251,clinicalTrials
252,news
254,clinicalTrials
256,clinicalTrials
257,clinicalTrials
258,others
259,clinicalTrials
260,clinicalTrials
261,clinicalTrials
262,clinicalTrials
263,clinicalTrials
264,clinicalTrials
265,clinicalTrials
266,clinicalTrials
267,clinicalTrials
268,clinicalTrials
270,others
271,clinicalTrials
274,clinicalTrials
276,clinicalTrials
277,clinicalTrials
278,clinicalTrials
279,clinicalTrials
280,news
282,clinicalTrials
283,clinicalTrials
284,others
285,clinicalTrials
286,clinicalTrials
287,others
288,clinicalTrials
290,others
291,clinicalTrials
292,clinicalTrials
294,clinicalTrials
296,news
298,clinicalTrials
299,clinicalTrials
300,clinicalTrials
301,news
302,clinicalTrials
303,clinicalTrials
304,clinicalTrials
306,clinicalTrials
307,clinicalTrials
308,clinicalTrials
309,news
310,others
311,clinicalTrials
313,clinicalTrials
315,clinicalTrials
317,clinicalTrials
318,news
319,clinicalTrials
320,clinicalTrials
325,news
327,clinicalTrials
328,clinicalTrials
329,news
330,clinicalTrials
331,clinicalTrials
332,clinicalTrials
333,clinicalTrials
335,clinicalTrials
336,others
337,clinicalTrials
338,clinicalTrials
339,others
340,clinicalTrials
342,clinicalTrials
344,clinicalTrials
345,clinicalTrials
346,clinicalTrials
347,clinicalTrials
383,clinicalTrials
385,clinicalTrials
389,clinicalTrials
390,clinicalTrials
391,clinicalTrials
393,clinicalTrials
394,clinicalTrials
396,clinicalTrials
398,clinicalTrials
399,clinicalTrials
400,clinicalTrials
402,clinicalTrials
404,clinicalTrials
405,clinicalTrials
406,clinicalTrials
408,clinicalTrials
409,clinicalTrials
411,clinicalTrials
412,clinicalTrials
413,clinicalTrials
414,clinicalTrials
415,clinicalTrials
416,clinicalTrials
418,clinicalTrials
421,others
431,others
435,clinicalTrials
437,clinicalTrials
438,clinicalTrials
439,clinicalTrials
440,clinicalTrials
443,clinicalTrials
445,clinicalTrials
446,clinicalTrials
447,clinicalTrials
448,clinicalTrials
449,clinicalTrials
450,clinicalTrials
451,clinicalTrials
452,clinicalTrials
453,clinicalTrials
454,clinicalTrials
455,clinicalTrials
457,clinicalTrials
459,clinicalTrials
463,clinicalTrials
464,clinicalTrials
465,clinicalTrials
466,clinicalTrials
468,clinicalTrials
469,clinicalTrials
470,clinicalTrials
472,clinicalTrials
473,clinicalTrials
474,clinicalTrials
476,clinicalTrials
477,clinicalTrials
478,clinicalTrials
480,clinicalTrials
481,clinicalTrials
482,clinicalTrials
483,clinicalTrials
484,clinicalTrials
485,clinicalTrials
487,clinicalTrials
488,clinicalTrials
489,clinicalTrials
490,clinicalTrials
491,clinicalTrials
493,clinicalTrials
495,clinicalTrials
496,clinicalTrials
497,clinicalTrials
498,clinicalTrials
499,clinicalTrials
500,clinicalTrials
502,clinicalTrials
503,clinicalTrials
505,clinicalTrials
506,clinicalTrials
507,clinicalTrials
508,clinicalTrials
509,clinicalTrials
510,clinicalTrials
511,clinicalTrials
512,clinicalTrials
513,clinicalTrials
514,clinicalTrials
515,clinicalTrials
516,clinicalTrials
517,clinicalTrials
519,clinicalTrials
521,clinicalTrials
523,clinicalTrials
524,clinicalTrials
525,clinicalTrials
526,clinicalTrials
527,clinicalTrials
528,clinicalTrials
529,clinicalTrials
530,clinicalTrials
531,clinicalTrials
533,clinicalTrials
534,clinicalTrials
536,clinicalTrials
537,clinicalTrials
538,clinicalTrials
540,clinicalTrials
541,clinicalTrials
542,clinicalTrials
545,clinicalTrials
546,clinicalTrials
547,clinicalTrials
548,clinicalTrials
549,clinicalTrials
550,clinicalTrials
551,clinicalTrials
552,clinicalTrials
553,clinicalTrials
554,clinicalTrials
555,clinicalTrials
556,clinicalTrials
557,clinicalTrials
558,clinicalTrials
559,clinicalTrials
560,clinicalTrials
561,clinicalTrials
575,clinicalTrials
601,clinicalTrials
607,clinicalTrials
621,clinicalTrials
625,clinicalTrials
635,clinicalTrials
636,clinicalTrials
637,clinicalTrials
640,clinicalTrials
641,clinicalTrials
642,clinicalTrials
647,clinicalTrials
652,clinicalTrials
655,clinicalTrials
656,clinicalTrials
657,clinicalTrials
658,clinicalTrials
659,clinicalTrials
660,clinicalTrials
661,clinicalTrials
662,clinicalTrials
668,clinicalTrials
669,clinicalTrials
670,clinicalTrials
671,clinicalTrials
672,clinicalTrials
673,clinicalTrials
674,clinicalTrials
675,clinicalTrials
676,clinicalTrials
677,clinicalTrials
678,clinicalTrials
679,clinicalTrials
680,clinicalTrials
681,clinicalTrials
682,clinicalTrials
683,clinicalTrials
684,clinicalTrials
685,clinicalTrials
686,clinicalTrials
688,clinicalTrials
689,clinicalTrials
690,clinicalTrials
691,clinicalTrials
692,clinicalTrials
693,clinicalTrials
694,clinicalTrials
695,clinicalTrials
696,clinicalTrials
697,clinicalTrials
698,clinicalTrials
699,clinicalTrials
702,clinicalTrials
703,clinicalTrials
704,clinicalTrials
708,clinicalTrials
709,clinicalTrials
711,clinicalTrials
713,clinicalTrials
715,clinicalTrials
724,clinicalTrials
726,clinicalTrials
734,others
735,others
736,others
738,others
807,clinicalTrials
808,clinicalTrials
809,clinicalTrials
810,clinicalTrials
813,clinicalTrials
814,clinicalTrials
817,others
818,others
821,others
828,others
842,clinicalTrials
844,clinicalTrials
845,clinicalTrials
846,clinicalTrials
847,clinicalTrials
848,clinicalTrials
849,clinicalTrials
850,clinicalTrials
851,clinicalTrials
852,clinicalTrials
855,others
858,clinicalTrials
859,others
860,clinicalTrials
861,others
862,clinicalTrials
863,news
867,news
870,others
872,news
873,others
874,others
875,others
878,others
880,clinicalTrials
885,others
897,others
898,others
900,others
901,clinicalTrials
902,others
903,others
904,others
906,others
908,publication
915,others
916,others
917,others
918,others
920,news
921,news
922,news
923,others
925,others
928,news
932,news
934,others
949,others
951,news
954,others
956,others
961,others
970,clinicalTrials
971,others
974,clinicalTrials
977,news
979,others
980,news
982,news
983,news
984,news
985,news
987,others
988,news
990,news
991,news
996,others
998,others
1000,others
1001,others
1008,clinicalTrials
1010,news
1012,news
1013,news
1014,news
1015,news
1016,others
1017,others
1020,news
1021,clinicalTrials
1025,news
1038,clinicalTrials
1039,clinicalTrials
1042,clinicalTrials
1044,clinicalTrials
1050,others
1055,news
1059,others
1062,clinicalTrials
1065,others
1066,others
1068,others
1069,others
1070,news
1071,news
1072,news
1074,others
1079,news
1084,news
1085,news
1086,news
1088,clinicalTrials
1091,others
1092,others
1093,news
1095,others
1096,others
1098,others
1099,news
1100,news
1101,others
1106,others
1109,others
1110,news
1113,others
1118,news
1124,others
1126,news
1133,others
1135,others
1136,clinicalTrials
1138,news
1139,news
1142,news
1144,others
1150,others
1152,clinicalTrials
1153,clinicalTrials
1154,news
1155,news
1156,others
1157,news
1158,news
1159,clinicalTrials
1164,others
1166,news
1167,news
1168,others
1169,others
1172,news
1175,others
1178,others
1179,others
1180,others
1181,news
1183,news
1184,news
1185,others
1186,others
1190,others
1192,others
1194,others
1197,news
1199,others
1200,others
1204,others
1206,others
1207,clinicalTrials
1221,news
1224,clinicalTrials
1229,others
1239,news
1243,news
1254,news
1260,news
1263,news
1267,news
1282,news
1285,others
1286,news
1287,others
1293,news
1298,news
1299,news
1300,news
1305,news
1307,news
1308,news
1313,news
1314,news
1315,others
1319,others
1322,news
1323,news
1327,news
1334,others
1338,others
1339,news
1342,news
1357,news
1359,news
1364,news
1366,news
1367,news
1369,news
1379,others
1381,news
1382,news
1386,news
1387,news
1389,news
1390,others
1395,news
1400,news
1401,others
1402,news
1405,news
1408,news
1414,news
1415,clinicalTrials
1416,clinicalTrials
1419,clinicalTrials
1421,news
1424,clinicalTrials
1426,clinicalTrials
1427,news
1430,clinicalTrials
1431,clinicalTrials
1437,clinicalTrials
1438,clinicalTrials
1440,news
1442,news
1443,news
1445,news
1447,clinicalTrials
1449,clinicalTrials
1452,clinicalTrials
1455,clinicalTrials
1456,clinicalTrials
1459,clinicalTrials
1460,clinicalTrials
1462,clinicalTrials
1463,news
1465,news
1467,news
1468,clinicalTrials
1469,clinicalTrials
1472,others
1475,news
1478,news
1479,news
1480,news
1481,news
1491,news
1495,news
1498,conferences
1501,others
1504,news
1506,news
1510,others
1513,news
1514,others
1516,news
1519,news
1525,profile
1526,others
1531,others
1536,others
1538,others
1542,others
1543,news
1547,others
1548,others
1549,news
1553,others
1558,others
1560,news
1561,news
1565,news
1568,news
1569,news
1572,news
1576,publication
1579,others
1582,others
1590,others
1591,news
1592,others
1594,others
1598,others
1606,news
1609,news
1610,news
1611,news
1618,others
1619,news
1621,others
1623,others
1628,others
1629,others
1630,others
1631,others
1632,news
1634,news
1637,news
1638,news
1639,news
1640,others
1641,news
1642,others
1643,news
1644,profile
1649,news
1650,others
1651,news
1653,others
1661,others
1667,others
1669,others
1670,others
1676,news
1677,conferences
1679,others
1681,others
1684,others
1685,others
1691,news
1692,news
1694,others
1696,news
1697,news
1699,news
1700,news
1701,news
1703,news
1705,others
1707,news
1708,others
1710,others
1711,news
1712,others
1714,news
1721,news
1723,news
1729,others
1730,news
1735,news
1742,others
1751,news
1757,others
1760,others
1767,news
1768,news
1774,news
1776,others
1777,news
1779,news
1781,news
1784,news
1785,others
1794,publication
1796,news
1797,news
1800,publication
1803,news
1805,news
1825,news
1832,others
1835,news
1842,news
1843,news
1848,conferences
1856,news
1857,others
1864,news
1865,others
1867,news
1869,others
1870,others
1871,news
1872,news
1874,news
1876,news
1877,news
1881,news
1882,news
1883,others
1886,news
1890,news
1898,news
1900,news
1901,conferences
1903,news
1906,news
1913,news
1914,news
1915,others
1918,others
1921,news
1923,news
1924,news
1925,news
1926,others
1929,news
1930,news
1935,others
1936,others
1937,others
1938,news
1943,news
1946,news
1950,news
1952,news
1958,news
1970,others
1974,news
1975,others
1976,others
1982,news
1983,news
1986,news
1990,news
1992,others
1993,news
1995,news
1996,news
1998,others
2001,others
2004,news
2013,others
2018,others
2020,others
2027,news
2029,profile
2042,news
2044,news
2050,others
2051,news
2055,news
2056,news
2061,news
2070,others
2071,news
2073,news
2074,others
2075,news
2076,others
2077,news
2078,news
2079,news
2080,news
2083,news
2084,news
2085,others
2087,news
2090,news
2091,news
2096,others
2101,news
2102,news
2103,news
2112,news
2113,others
2114,news
2116,news
2118,news
2119,others
2123,others
2134,others
2141,news
2143,others
2147,news
2152,news
2155,others
2156,news
2157,news
2158,forum
2164,news
2166,news
2188,others
2189,news
2195,profile
2199,news
2201,news
2212,news
2213,others
2219,others
2221,conferences
2225,news
2229,news
2231,others
2244,news
2247,news
2251,others
2254,news
2256,others
2265,others
2268,news
2271,others
2276,news
2279,news
2281,news
2288,others
2297,news
2300,others
2301,news
2302,news
2309,news
2318,news
2320,news
2324,news
2325,news
2327,news
2329,others
2331,news
2334,news
2335,news
2336,news
2342,news
2343,news
2347,news
2348,news
2349,news
2351,news
2357,others
2358,guidelines
2368,news
2369,news
2370,news
2371,news
2376,news
2377,news
2378,others
2381,others
2382,others
2390,news
2392,news
2393,news
2395,news
2396,news
2402,others
2403,news
2406,others
2407,others
2409,news
2411,news
2419,others
2421,others
2424,news
2425,others
2426,news
2428,others
2435,news
2437,news
2441,news
2443,news
2450,others
2452,others
2468,news
2470,others
2471,news
2479,news
2483,news
2484,news
2485,news
2486,news
2488,news
2489,news
2492,news
2493,news
2496,news
2497,others
2502,news
2505,news
2510,news
2522,news
2523,news
2525,news
2526,news
2527,news
2535,news
2539,news
2545,news
2546,news
2550,news
2560,news
2566,news
2569,news
2573,others
2575,news
2579,news
2581,news
2582,news
2583,news
2584,news
2590,news
2592,news
2595,news
2598,news
2603,publication
2608,news
2610,others
2612,news
2616,news
2617,news
2619,news
2623,news
2641,news
2644,others
2645,news
2647,news
2649,news
2652,news
2653,news
2654,news
2657,news
2659,news
2660,others
2662,news
2665,news
2666,news
2671,news
2672,news
2673,news
2676,news
2677,others
2680,news
2684,news
2688,news
2689,news
2690,news
2693,news
2694,news
2697,news
2698,news
2699,conferences
2700,news
2707,news
2710,news
2713,news
2714,news
2716,news
2720,news
2721,news
2727,news
2729,news
2730,news
2733,others
2736,news
2739,news
2743,news
2745,news
2748,news
2749,news
2751,news
2754,news
2768,news
2772,publication
2774,news
2777,news
2779,news
2780,news
2781,news
2787,news
2789,news
2797,news
2799,news
2800,others
2801,news
2803,news
2810,news
2811,others
2812,news
2813,news
2817,news
2825,news
2826,others
2827,others
2840,others
2848,others
2849,others
2850,others
2851,others
2852,others
2854,others
2855,others
2856,others
2857,others
2858,others
2859,others
2863,others
2865,others
2866,others
2867,others
2868,news
2871,news
2878,others
2879,others
2891,news
2892,others
2896,others
2897,others
2898,others
2899,others
2901,others
2902,others
2903,others
2905,others
2909,others
2910,others
2911,others
2912,others
2913,others
2914,others
2916,others
2918,others
2919,others
2921,others
2928,others
2929,others
2930,others
2933,others
3001,others
3033,others
3034,others
3035,others
3036,others
3037,others
3038,others
3040,others
3041,others
3042,others
3044,others
3045,others
3048,others
3049,others
3051,others
3052,others
3053,others
3054,others
3055,others
3056,others
3057,others
3058,others
3059,others
3060,others
3063,others
3065,others
3066,others
3067,others
3069,others
3070,others
3072,others
3074,others
3075,others
3076,others
3079,others
3080,others
3083,others
3084,others
3085,others
3086,others
3087,others
3088,others
3089,others
3091,others
3093,others
3094,others
3097,others
3098,news
3100,news
3104,others
3105,news
3110,news
3114,news
3115,news
3116,others
3117,others
3119,others
3121,others
3122,others
3125,others
3126,others
3128,others
3129,others
3130,others
3131,others
3132,others
3133,others
3204,others
3215,others
3216,clinicalTrials
3217,others
3220,others
3248,others
3249,others
3250,others
3360,clinicalTrials
3361,others
3362,others
3363,others
3366,others
3367,others
3368,others
3369,others
3370,others
3371,others
3372,others
3583,news
3608,others
3615,news
3616,news
3617,news
3619,news
3664,news
3670,news
3680,others
3683,conferences
3688,others
3691,news
3692,news
3698,news
3702,others
3704,news
3705,news
3759,others
4065,others
4066,others
4070,others
4073,news
4074,news
4075,news
4080,news
4083,news
4088,news
4090,news
4092,news
4093,news
4095,news
4096,news
4104,others
4110,news
4111,news
4112,news
4113,news
4114,news
4115,news
4117,news
4119,news
4125,news
4127,news
4128,news
4130,news
4132,news
4134,news
4143,news
4151,news
4152,others
4153,news
4156,others
4162,news
4163,news
4164,news
4165,news
4169,news
4171,news
4178,news
4183,news
4187,others
4189,news
4190,others
4204,clinicalTrials
4205,clinicalTrials
4206,clinicalTrials
4207,clinicalTrials
4208,clinicalTrials
4209,clinicalTrials
4210,clinicalTrials
4211,clinicalTrials
4212,clinicalTrials
4213,clinicalTrials
4214,clinicalTrials
4215,clinicalTrials
4216,clinicalTrials
4217,clinicalTrials
4218,clinicalTrials
4219,clinicalTrials
4220,clinicalTrials
4221,clinicalTrials
4222,clinicalTrials
4223,clinicalTrials
4224,clinicalTrials
4225,clinicalTrials
4226,clinicalTrials
4227,clinicalTrials
4228,clinicalTrials
4229,clinicalTrials
4230,clinicalTrials
4231,clinicalTrials
4232,clinicalTrials
4233,clinicalTrials
4234,clinicalTrials
4235,clinicalTrials
4236,clinicalTrials
4237,clinicalTrials
4238,clinicalTrials
4239,clinicalTrials
4240,clinicalTrials
4241,clinicalTrials
4242,clinicalTrials
4243,clinicalTrials
4244,clinicalTrials
4245,clinicalTrials
